id,Thương hiệu,Dòng xe,Loại xe,Dung tích xe,Giá,Số_km_da_đi,Tuoi_xe,Km_moi_nam,Tuoi_xe_x_Km,Log_Gia,full_description
505,yamaha,exciter,tay côn moto,100 175 cc,14.5,54678,14.0,3877.872340425532,765492.0,2.740840023925201,ex 62 ycs bstp xe k09chủ yamaha exciter tay côn moto 100 175 cc ex bstp xe k09chủ máy móc 62 ycs dao cavet gốc giay thanh ly cầm đồ xe xấu dep nhu hinh ae quan tam ib
506,honda,winner,tay côn moto,100 175 cc,13.8,4667,8.0,576.1728395061729,37336.0,2.6946271807700692,winner 2017 biển số 59 xe kông 9 chủ honda winner tay côn moto 100 175 cc wimner 2017 biển số 59 xe k09chủ máy móc 57 long ycs dao xe cavet giay uy quyền cũ ae quan tam ib
507,honda,sh,tay ga,100 175 cc,0.1,23000,4.0,5609.756097560976,92000.0,0.09531017980432487,xe nhập khẩu chính hãng nguyên zin đang sử dụng honda sh tay ga 100 175 cc xe đang sử dụng cần tiền nên bán có nhu cầu thì liên hệ
508,honda,dream,xe số,50 100 cc,3.0,8888,23.0,384.76190476190476,204424.0,1.3862943611198906,xe dream trung quốc honda dream xe số 50 100 cc sắp chuyển nhà cần bán xe dream còn sử dụng bình thường ace quan tâm xem xe trực tiếp tại nhà xe ba mình dùng không phải kinh doanh do chuyển chổ ở mới nên bán ace đến xem xe fix nhanh mua bán mau lẹ cảm ơn
509,honda,air blade,tay ga,100 175 cc,22.8,14000,10.0,1386.1386138613861,140000.0,3.169685580677429,đổi xe khác cần bán air blade 2015 đã lên smartkey honda air blade tay ga 100 175 cc airblade đã lên smartkey sh xịn bstp dễ thương 98698 chính chủ ký ủy quyền hay mua bán đều được ốc tán sáng trưng máy móc êm nguyên zin bao test dàn áo mới lột keo còn đẹp long lanh miễn tiếp cò lái
510,honda,air blade,tay ga,100 175 cc,123.456789,25,10.0,2.4752475247524752,250.0,4.8239585793546205,53535 chính chủ ký ủy quyền cho ae chơi thoải mái honda air blade tay ga 100 175 cc air blade đk 2015 bstp 2 phím chính chủ ký ủy quyền cho ae chơi dàn áo đẹp long lanh ốc tán sáng trưng máy móc nguyên zin bao êm bao test chìa khóa theo xe đủ 2 chìa
511,yamaha,nouvo,tay ga,100 175 cc,3.8,40000,17.0,2339.1812865497072,680000.0,1.5686159179138452,1 xe wave 1 xe novo4 chạy còn rat ok cho a c e đi yamaha nouvo tay ga 100 175 cc xe chạy còn rat ok có thể đến xem xe rruic 7 h tối
512,suzuki,sport xipo,tay côn moto,100 175 cc,225.0,50000,26.0,1915.7088122605362,1300000.0,5.420534999272286,xipo 99 hqcn suzuki sport xipo tay côn moto 100 175 cc xipo 99 hqcn xe mới dọn đồ zin 90 lòng lỗ zin pô zin áo zin sơn lại đồng hồ zin điện lửa sạc ic zin vv
513,yamaha,mio,tay ga,100 175 cc,4.6,515,17.0,30.11695906432748,8755.0,1.7227665977411035,cần bán mio máy êm yamaha mio tay ga 100 175 cc cần bán mio đang đi máy êm hiện tại đang hư bình ae cần alo em xem xe bình tân tối chứ ban ngày em đi làm giá 4 tr6 bớt cho ae nhanh lẹ
514,honda,vision,tay ga,100 175 cc,22.5,15000,6.0,2459.016393442623,90000.0,3.1570004211501135,honda vision chính chủ bstp honda vision tay ga 100 175 cc honda vision 2019 ít sử dụng chính chủ giấy tờ đầy đủ bstp công chứng trong ngày xe nguyên bản máy móc zin xe mới lột keo cực đẹp ko một vết trầy giá bán 22 5 tr xem xe q6
515,honda,vario,tay ga,100 175 cc,48.0,14000,1.0,12727.272727272726,14000.0,3.8918202981106265,bán honda vario 160 honda vario tay ga 100 175 cc honda vario 160 nhập indo xe chạy 14 000 km chính chủ xe bảo dưỡng thay nhớt định kỳ đầy đủ có dán bảo vệ sơn xe còn thương lượng cho ae có thiện chí liên hệ hiếu
516,honda,wave,xe số,50 100 cc,23.5,0,21.0,0.0,0.0,3.1986731175506815,xe bán chính chủ honda wave xe số 50 100 cc em cần ra đi e nó 23 tr500 bstp 9 c kí ủy quyền mua bán thoải mái máy zin chưa chẻ dọn sạch sẽ
517,honda,winner x,tay côn moto,100 175 cc,31.0,4400,1.0,3999.9999999999995,4400.0,3.4657359027997265,winer x siêu lướt ít đi còn bảo hành hãng honda winner x tay côn moto 100 175 cc dư dùng nên bán lại 1 em winer x bản v3 đăng ký lần đầu 31 5 2024 xe siêu lướt ít đi odo chưa tới 4400 km còn bảo hành chính hãng honda lâu dài xe chính chủ công chứng ủy quyền đầy đủ hình ảnh xe chụp thực tế khi bán sẽ phục hồi xe về nguyên trạng nsx riêng phụ kiện nếu lấy luôn sẽ pass lại giá iu thương mọi chi tiết liên hệ trực tiếp chỉ gd chính chủ vui lòng liên hệ trước để xếp lịch xem xe mình đi làm nên để xe ở nhà note a e lưu ý tiền nào của nấy fix nhẹ cho ae thiện chí cảm ơn ạ
518,honda,sonic,tay côn moto,trên 175 cc,38.5,140000,3.0,45161.290322580644,420000.0,3.676300671907076,sonic zin chính chủ bstp honda sonic tay côn moto trên 175 cc honda sonic 150 2022 bstp 59 chính chủ sang tên xe đẹp keng lên vài món salaya đồ chơi cơ bản cấu hình máy zin siêu nhẹ cực lanh giá 38 500 000 sang tên toàn quốc alo địa chỉ 167 phú định p 16 q 8
519,honda,sonic,tay côn moto,100 175 cc,30.0,20000,3.0,6451.612903225806,60000.0,3.4339872044851463,bán hoặc gl tay ga honda sonic tay côn moto 100 175 cc nhà có con nhỏ k chở đc bán hoặc gl xe tay ga xe nguyên zin chưa sữa chữa chỉ độ đèn bi cầu và ốc salaya ốc zin vẫn còn giữ cho ai cần
520,sym,wolf,tay côn moto,100 175 cc,25.0,13000,15.0,860.9271523178808,195000.0,3.258096538021482,sym husky đã lên dáng cào cào sym wolf tay côn moto 100 175 cc xe wolf 150 cc đã làm dáng giấy tờ ok chuẩn chỉ không sợ mấy anh xe em bán 25 tr ở khu vực sg anh em nhanh gọn 24 tr
521,yamaha,sirius,xe số,100 175 cc,8.9,99000,11.0,8918.91891891892,1089000.0,2.2925347571405443,bán xe cũ yamaha sirius xe số 100 175 cc do mua xe mới nên cần san lại xe cũ
522,yamaha,sirius,xe số,không biết rõ,9.0,99000,11.0,8918.91891891892,1089000.0,2.302585092994046,mua xe mới nên bán lại xe cũ yamaha sirius xe số không biết rõ do mua xe mới nên cần san lại xe cũ hiệu sirius fi
523,yamaha,mio,tay ga,100 175 cc,9.8,26000,1.0,23636.363636363636,26000.0,2.379546134130174,mio nữ chạy đi làm còn mới yamaha mio tay ga 100 175 cc xe nữ chạy đi làm tết mới chạy về sóc trăng 1 lần máy zim chính chủ q6 bán xe ko qua trung gian
524,honda,wave,xe số,50 100 cc,10.5,35000,12.0,2892.5619834710747,420000.0,2.4423470353692043,bán xe wave rxs gia đình 10 5 triệu honda wave xe số 50 100 cc cần bán xe wave rsx 2013 chính chủ ít đi giá tốt thông tin xe dòng xe honda wave rsx năm sản xuất 2013 biển số 59 n3 259 0 8 nút màu sắc trắng số km đã đi 35000 km giấy tờ đầy đủ chính chủ công chứng sang tên nhanh gọn máy móc zin êm chưa bung đề nổ nhẹ chạy tiết kiệm xăng ngoại hình còn đẹp không đâm đụng không ngập nước bảo dưỡng định kỳ đầy đủ giá bán 10 500 000 còn thương lượng xem xe tại 445 gia phú phường 3 quận 6 liên hệ hiếu xe phù hợp cho sinh viên đi làm đi lại hằng ngày rất tiết kiệm xăng ai cần xe bền giá rẻ chạy ổn định thì liên hệ mình nhé
525,piaggio,vespa,tay ga,100 175 cc,33.0,23000,10.0,2277.2277227722775,230000.0,3.5263605246161616,cần bán xe vespa chính chủ piaggio vespa tay ga 100 175 cc dư xe cần bán lại xe vespa đang chạy xe đẹp máy êm ai cần liên hệ xin cám ơn
526,honda,sh,tay ga,100 175 cc,73.0,76000,8.0,9382.716049382716,608000.0,4.30406509320417,bán xe sh 150 i honda sh tay ga 100 175 cc bao xem xe và test tại chỗ xe luôn bảo dưỡng đúng định kỳ
527,honda,future,xe số,100 175 cc,25.5,40000,2.0,19047.619047619046,80000.0,3.2771447329921766,xe chính chủ honda future xe số 100 175 cc xe chính chủ còn mới 90 xuất xứ honda nhật xe đẹp đi êm tiết kiệm xăng gọi chính chủ sđt
528,honda,sh,tay ga,100 175 cc,68.0,2554,4.0,622.9268292682927,10216.0,4.23410650459726,sh 125 i honda sh tay ga 100 175 cc cần pass lại xe sh 125 i ít chạy còn mới 98 đã dán keo full màu đỏ đen xe chính chủ
529,honda,vision,tay ga,100 175 cc,18.9,69000,8.0,8518.518518518518,552000.0,2.990719731730447,vision 2017 biển số sài gòn chính chủ máy zin honda vision tay ga 100 175 cc cần bán xe vision 2017 biển số sài gòn chính chủ còn ủy quyền cho anh chị dàn ngoài theo năm tháng máy móc nguyên zin chưa rớt đầu bao anh chị dẫn thầy thợ theo ktra và chạy thử xe thoải mái ạk xem xe q6 chợ phú lâm anh chị cần xem xe gọi trực tiếp giúp em ạk
530,honda,lead,tay ga,100 175 cc,20.5,37422,9.0,4112.307692307692,336798.0,3.068052935133617,k sử dụng cần bán honda lead tay ga 100 175 cc xe đi giữ còn mới tinh luôn nha ac e k sài đến xe còn tốt lăm ban cho ace cần chỉ viêc đi thôi mới bao dưỡng hết rồi xem xe tại 12 duong 72 p10q6
531,kawasaki,kawasaki,xe số,50 100 cc,18.0,49116,2.0,23388.571428571428,98232.0,2.9444389791664403,max ii còn zin kawasaki kawasaki xe số 50 100 cc xe nhật còn zin nguyên chiếc xem xe tại nhà
532,honda,sh,tay ga,trên 175 cc,140.0,20000,9.0,2197.802197802198,180000.0,4.948759890378168,bán xe sh300i hàng nhập ý 2016 1 đời chủ honda sh tay ga trên 175 cc bán xe sh300i hàng nhập ý 2016 1 đời chủ tặng lun phuot ohlin chính hang va po 4 road cổ po titan cavet xe màu trắng đồ zin tren xe con day du 140 t
533,honda,blade,xe số,100 175 cc,12.0,35000,7.0,4929.577464788733,245000.0,2.5649493574615367,honda blade đăng ký 2018 12 tr thương lượng honda blade xe số 100 175 cc phiên bản đặc biệt của năm 2018 xe chạy vẫn còn êm anh em có nhu cầu mua chạy có thể thương lượng thêm liên hệ zalo để biết thêm chi tiết
534,honda,sh,tay ga,100 175 cc,82.0,15000,14.0,1063.8297872340427,210000.0,4.418840607796598,bán xe sh 125 mẫu ý honda sh tay ga 100 175 cc do không còn nhu cầu sử dụng nên mình bán xe sh mẫu ý sm 5007 xe ít chạy do mình chỉ sử dụng xe điện giá 82 tr công chứng ủy quyền mua bán đều được liên hệ nghị
535,honda,pcx,tay ga,100 175 cc,6.0,500000,13.0,38167.938931297715,6500000.0,1.9459101490553132,xe pcx 125 cc honda pcx tay ga 100 175 cc xe cũ bstp xe mua của người quen không sang tên nên giờ bán cũng o sang tên viết giấy tay mua bán cavet xe đầy đủ xem xe tại nhà sđt
536,honda,future,xe số,100 175 cc,42.0,7000,1.0,6363.636363636363,7000.0,3.7612001156935624,cần bán xe tặng phuộc ohlins honda future xe số 100 175 cc xe dọn sẵn phuộc ohlins và phuộc zin mua xe tặng lại hết
537,yamaha,nvx,tay ga,100 175 cc,22.68,52000,7.0,7323.943661971832,364000.0,3.164630810015805,bán xe nvx 2018 125 cc yamaha nvx tay ga 100 175 cc bán xe nvx 125 cc năm 2018 đã lên cặp phuộc
538,honda,vario,tay ga,100 175 cc,60.0,51000,8.0,6296.2962962962965,408000.0,4.110873864173311,cần bán vario 150 cc 2017 chính chủ honda vario tay ga 100 175 cc xe chính chủ nguyên zin vừa bảo dưỡng cấp lớn 50 nghìn km bao gồm kiểm tra vệ sinh nồi thay nhớt máy nhớt số thay nước mát thay dây curoa thay lốp thay bố thắng có dán keo nguyên xe
539,yamaha,jupiter,xe số,100 175 cc,6.9,12345,12.0,1020.2479338842976,148140.0,2.066862759472976,thanh lí 2 con jupiter nhật yamaha jupiter xe số 100 175 cc xe nhật giấy tờ đầy đủ máy êm điện đề còi đầy đủ biến số thành phố 7 triệu chiếc
540,honda,shadow,tay côn moto,trên 175 cc,39.0,60000,18.0,3314.917127071823,1080000.0,3.6888794541139363,moto pkl hãng honda dòng cổ điển 2 máy v 400cc honda shadow tay côn moto trên 175 cc tôi dư chiếc moto honda steel pkl 400 cc sưu tầm cafe phượt chơi nay cuối năm dọn nhà nhượng lại cho tay chơi mới về thay chồng mới rướt dâu đón tết xe tay côn dòng cổ điển máy v hiếm có phong cách mỹ sx nhật bản dành cho anh em đam mê phong cách lịch lãm cá tính nam phong cách cổ điển tý mới yêu em nó nổi nhé xe chạy mạnh mượt các cung đường nay cần tay lo nữa đời còn lại của em nó xe chạy ngầu p s xe oto số sàn fiat 1 3 bản đủ gia đình dùng ngon mạnh nhập ý ai thích nhích 139 triệu nhanh gọn cho trống luôn fix nhanh cho người thiện chí mua bán có đảm bảo gt thanks quý anh
541,honda,dream,xe số,50 100 cc,38.0,68000,29.0,2336.769759450172,1972000.0,3.6635616461296463,xe nhập nguyên thùng không lai phụ tùng honda dream xe số 50 100 cc xe nhật không lai phụ tùng đầu cạo khói nhưng máy ga granty rất nhuyễn
542,honda,wave,xe số,không biết rõ,12.0,41318,8.0,5100.9876543209875,330544.0,2.5649493574615367,cần bán honda wave xe số không biết rõ xe việt nam sản xuất đang sử dụng chính chủ máy zin áo nguyên zin có dán keo giá có thể thương lượng
543,honda,future,xe số,100 175 cc,27.0,24000,7.0,3380.281690140845,168000.0,3.332204510175204,future 2018 nguyên zin honda future xe số 100 175 cc xe nhà chạy từ lúc mua tới bây giờ chưa đụng hay tháo 1 côn ốc zin nào bố già kĩ tính nên giữ gìn xe rất kĩ độ mới còn 98 xe chạy từ lúc lấy tring hãng ra mới hơn 24 k kilomet mua bán taii nhà giấy tờ chính chủ bao mọi tranh chấp được dẫn thợ thầy đi cùng kiễm tra máy móc thể loại
544,honda,winner,tay côn moto,100 175 cc,23.0,30000,8.0,3703.703703703704,240000.0,3.1780538303479458,winner v1 đki cuối 2017 zin mộc honda winner tay côn moto 100 175 cc winner v1 đăng kí cuối 2017 xe nhà dùng odo chuẩn 3 xkm000 đầu nồi chưa chạm mâm rapido 6 c xe bstp 9 c bs định danh mua bán tại nhà
545,honda,wave,xe số,100 175 cc,8.0,4000,18.0,220.99447513812152,72000.0,2.1972245773362196,bán xe wave honda wave xe số 100 175 cc xe máy nhật pô móc êm nhẹ nhàng máy chạy êm ru xem xe tại sg q6
546,yamaha,grande,tay ga,100 175 cc,46.8,2000,1.0,1818.181818181818,2000.0,3.86702563949741,muabanxe yamaha grande tay ga 100 175 cc xe di lướt như mới biển thành phố chính chủ sang tên
547,honda,sh,tay ga,100 175 cc,43.0,112655,9.0,12379.67032967033,1013895.0,3.784189633918261,bán sh 2016 smart key chính chủ honda sh tay ga 100 175 cc cần ra đi sh 150 2016 smart key mình chính chủ giá 43 tr biển số tỉnh cà mau xem xe trực tiếp q6 hcm alo đt
548,honda,winner,tay côn moto,100 175 cc,16.0,26000,8.0,3209.8765432098767,208000.0,2.833213344056216,cần bán winner v1 honda winner tay côn moto 100 175 cc xe chính chủ mn ai có nhu mua thì lh em nha xem xe ở cần đước long an mn có muốn mua nhắn qua chợ tốt dùm em nha
549,piaggio,liberty,tay ga,100 175 cc,8.0,10000,13.0,763.3587786259542,130000.0,2.1972245773362196,can ban nhanh em liberty ngoại hình đẹp máy êm piaggio liberty tay ga 100 175 cc cần bán nhanh em liberty trắng năm 2012 ngoại hình đẹp máy êm ít hao xăng mua về chạy vi vu k cần sửa chữa bảo đảm xe chạy ngon k cần sửa lại bất cứ cái gi
550,honda,dylan,tay ga,100 175 cc,15.0,20000,19.0,1047.1204188481674,380000.0,2.772588722239781,bán xe honda dylan tay ga 100 175 cc do nhu cầu đi lại và hết đam mê nên cần ra đi e nó ạ xe bstp chính chủ ạ xe e đang đi ạ máy êm nước ko soi bao ae đi xa ạ ae chơi thì lh e nhe giá e bán mười năm chệu fixx tẹt ga cho ae chơi
551,yamaha,grande,tay ga,100 175 cc,46.8,1810,1.0,1645.4545454545453,1810.0,3.86702563949741,grenada 2024 xiu lướt bstp chính chủ xe 2024 yamaha grande tay ga 100 175 cc bán yamaha grenada sản xuất 2024 bstp chính chủ ký giấy sang tên thoải mái ạ xe lướt vẫn còn bảo hành hãng ạ màu hồng cánh sen limitit xe mới lắm ace ơi ace quan tâm ib e hoặc xem xe trực tiếp cửa hàng ạ dc 241 a tân hòa đông p14 quận 6 ạ
552,sym,shark,tay ga,100 175 cc,8.5,55000,12.0,4545.454545454546,660000.0,2.2512917986064953,thanh lý swm rin 125 c chủ chạy kỷ mạnh xe đẹp sym shark tay ga 100 175 cc thanh lý xe chính hãng sym 125 cc chính chủ ít đi xe đẹp xe chạy mạnh mượt xem xe ưng ngay kiểu dáng nam cao to cốp bự y như sh 300 có thùng rin givi to để 4 nón bảo hiểm như hình fix ngay 500 k nếu không thùng bán nhanh trong ngày lấy moto nên có giá tốt như trên ở xa ck sẽ gửi chành cả nước xe dư dùng chạy ngon chứ không kinh doanh mua bán nên xin không trả giá abc mình không kẹt tiền đâu ah chỉ muốn bán cho người sử dụng xe ngon tiền nào của đó xe chính chủ chạy khác mua bán ah thanks
553,yamaha,exciter,tay côn moto,100 175 cc,55.0,2000,15.0,132.45033112582783,30000.0,4.02535169073515,ex 2010 dọn mới từ trong ra ngoài yamaha exciter tay côn moto 100 175 cc yamaha exciter2010 5 p71 phục dựng lại từ trong ra ngoài biển số saigon chính chủ dàn máy 65 zz dên thay tay lòng ycs bình redleo bao êm còn lực hay không ae qua test trực tiếp xé bịt ron phốt bạc đạn cao su full xe mâm enkie mẫu brt vỏ michelin dĩa x1r hãng phuộc sau redleo hãng v v xe dọn tâm huyết từ miếng ron con tán anh em đừng so sánh với xe dọn dàn ngoài tội nghiệp em em ban có 58 ae nào dễ thương em bớt mạnh
554,honda,air blade,tay ga,100 175 cc,35.5,26000,3.0,8387.096774193547,78000.0,3.597312260588446,air blade honda air blade tay ga 100 175 cc cần tiền đi chơi lễ 30 4 1 5 nên cho ra đi em air blade đăng ký năm 2022 4 val xe chính chủ biển số thành phố xe nhà chạy ko bị lỗi gì giá 35 500 000 miễn trả giá
555,honda,wave,tay ga,100 175 cc,8.0,32000,15.0,2119.2052980132453,480000.0,2.1972245773362196,honda wave rsx at 110 2010 sơn zin 100 honda wave tay ga 100 175 cc xe wave rsx at f1 phun xăng giúp tiết kiệm xăng xe một đời chủ sơn zin xe nhật sản xuất tại việt nam
556,honda,sh,tay ga,100 175 cc,46.0,35000,10.0,3465.3465346534654,350000.0,3.8501476017100584,cần bán xe sh 150 đời 2015 chính chủ honda sh tay ga 100 175 cc xe nhà đi nên rất kỹ dàn áo k 1 vết trầy xe up áo ý có smartkey 46 tr còn thương lượng
557,honda,sh,tay ga,100 175 cc,95.0,27000,15.0,1788.0794701986756,405000.0,4.564348191467836,sh125i hàng 3 cục biển số đẹp 19191 honda sh tay ga 100 175 cc sh125i sm 5004 hàng 3 cục date 2010 dàn ngoài đẹp keng lên được 1 số đồ chơi bs dễ thương 59 k1 191 91 ủy quyền 20 năm cho ae chơi giá 95 mua bán tại nhà ae yên tâm
558,honda,vision,tay ga,100 175 cc,28.0,4169,3.0,1344.8387096774193,12507.0,3.367295829986474,bán xe vision tìm người thương cho e nó honda vision tay ga 100 175 cc cầm đồ thanh lý mua bán tại cửa hàng không qua trung gian cm chủ
559,yamaha,nvx,tay ga,100 175 cc,43.6,9000,2.0,4285.714285714285,18000.0,3.7977338590260183,nvx v2 siêu lướt odo 9000 chính chủ kí yamaha nvx tay ga 100 175 cc ai cần xe chính chủ inb do ít đi lại nên cần bán xe xem xe tại q6 hồ chí minh
560,yamaha,grande,tay ga,100 175 cc,46.8,2200,1.0,1999.9999999999998,2200.0,3.86702563949741,grenada 2024 bstp chính chủ ký ạ đen limitit yamaha grande tay ga 100 175 cc bán yamaha grenada sản xuất 2024 bstp chính chủ ký sang tên thoải máy ạ xe rất đẹp ace mua sử dụng cứ yên tâm ạ xe còn bảo hành hãng ạ đầy đủ phụ kiện theo xe cho ace ạ ace quan tâm ib e hoặc xem xe trực típ tại cửa hàng địa chỉ 241 a tân hòa đông p14 quận 6 ạ
561,yamaha,sirius,xe số,100 175 cc,8.8,12345,12.0,1020.2479338842976,148140.0,2.2823823856765264,thanh lí xe sirius cho rộng nhà yamaha sirius xe số 100 175 cc xe nhật máy êm giấy tờ đầy đủ nhà chật thanh lí lẹ cho anh em về dùng xe nhât dòng xe này thì anh em khỏi bàn đt
562,honda,winner,tay côn moto,100 175 cc,18.0,20000,7.0,2816.9014084507044,140000.0,2.9444389791664403,cần ra đi e winer 2018 xe chính chủ bs tphcm honda winner tay côn moto 100 175 cc xe đã dọn nhẹ sạch sẻ xe chính chủ mình cần đổi tay ga nên bán
563,yamaha,exciter,tay côn moto,100 175 cc,24.5,1000,10.0,99.00990099009901,10000.0,3.2386784521643803,cần bán exciter lcv7 65 zz chính chủ yamaha exciter tay côn moto 100 175 cc xe nhà đi không phải cửa hàng xe trong trình trạng hoàn hảo máy 65 zz full rl còn bảo hành mới đi dc 1 k km xe chính chủ sang tên ủy quyền dc hết xe sạch sẽ đi mâm yaz full ốc dàn ngoài vỏ xe fereri rosso mới thay còn đinh giá còn thương lượng ae cần ib hoặc lh 926936793
564,honda,sh,tay ga,100 175 cc,70.0,100000,16.0,6211.1801242236015,1600000.0,4.2626798770413155,sh 150 i chính chủ honda sh tay ga 100 175 cc sh 150 đk 2009 xe lên thắng đĩa full chính chủ
565,honda,sh,tay ga,100 175 cc,33.0,50000,20.0,2487.5621890547263,1000000.0,3.5263605246161616,sh150 honda2005 xe ít chạy honda sh tay ga 100 175 cc cần bán sh150 2005 xe ít chạy còn mới 90 giá 33 củ còn thương lượng mọi chi tiết
566,yamaha,jupiter,xe số,100 175 cc,6.2,60668,15.0,4017.748344370861,910020.0,1.9740810260220096,bán gấp xe yamaha jupiter xe số 100 175 cc nhà dư xem cản bán xem ngon lành đề đỉen đầu đủ giáp tơ ủy quyền được ae cần lh
567,sym,dòng khác,tay ga,100 175 cc,7.5,45000,17.0,2631.578947368421,765000.0,2.1400661634962708,xe excel 150 tu dưỡng chăm sóc nên rất êm sym dòng khác tay ga 100 175 cc xe chính chủ sang tên công chứng ngay ạ đang chạy rất là êm do nhà chật nên bán bớt thôi ạ
568,yamaha,exciter,xe số,100 175 cc,50.9,50000,19.0,2617.801047120419,950000.0,3.949318790171843,exciter 135 2006 yamaha exciter xe số 100 175 cc xuất xứ thái lan xe chạy kĩ bản số dễ nhìn ngoại hình đẹp keng
569,yamaha,nvx,tay ga,100 175 cc,46.0,9500,1.0,8636.363636363636,9500.0,3.8501476017100584,cá nhân bán lại nvx đang sử dụng còn rất mới yamaha nvx tay ga 100 175 cc xe nvx cà vẹt tháng 06 2024 biển số huyện vĩnh cửu đồng nai màu xám đen còn rất mới dung tích 155 1 cm mới đi 9 500 km máy móc còn như mới mình chỉ bán cho người sử dụng xem xe tại quận 6 hcm
570,piaggio,sprint,tay ga,100 175 cc,62.0,13000,4.0,3170.7317073170734,52000.0,4.143134726391533,bảo dưỡng đầy đủ piaggio sprint tay ga 100 175 cc xe bản đặc biệt màu trắng mới sơn lại màu xanh sport
571,honda,wave,xe số,50 100 cc,6.8,8000,11.0,720.7207207207207,88000.0,2.0541237336955462,kẹt tiền cần bán gấp honda wave xe số 50 100 cc cần bán chiếc wave gia đình đang chạy xe nhật honda độ bền thì miễn bàn cãi ai có nhu cầu liên hệ em để xem xe
572,honda,wave,xe số,100 175 cc,8.5,30000,11.0,2702.702702702703,330000.0,2.2512917986064953,cần bán xe wave rs 2014 giá rẻ honda wave xe số 100 175 cc cần bán xe wave rs 2014 giá rẻ vừa làm bố nồi chạy nhẹ không hao xăng xe chạy đường trường rất đầm xe chạy đi làm không vấn đề gì giấy tờ ok cầm giấy tờ chủ cũ chạy lúc trước có làm giấy mua bán chưa sang tên còn lưu trên zalo ai mua mình gửi bao tranh chấp mình làm ở kcn tân tạo đường số 1 tối về q6 khách nhu cầu xem xe liên hệ đâu cũng được trên đường mình đi làm về cám ơn chợ tốt duyệt tin
573,hãng khác,dòng khác,tay ga,100 175 cc,35.0,200000,17.0,11695.906432748538,3400000.0,3.58351893845611,mình cần bán sh 2008 xe rớt đầu máy móc êm zil hãng khác dòng khác tay ga 100 175 cc mình cần bán xe sh 2008 chính chủ xe đã rớt đầu
574,honda,wave,xe số,50 100 cc,16.0,44000,16.0,2732.919254658385,704000.0,2.833213344056216,honda wave s100 trùm mền hàng hiếm honda wave xe số 50 100 cc không sử dụng cần bán wave s100 còn cực kỳ đẹp và zin bstp 4 số 9 nút 1 chủ mua mới bao đúng đồng hồ đầu nồi chưa bung ốc còn sáng đẹp hồ sơ tự quản còn đủ bao thợ thầy kiểm tra hoặc ra hãng lh ngay chủ bán trực tiếp không qua cò lái xin miễn tiếp tn quảng cáo giá còn tl khi xem xe
575,honda,wave,xe số,100 175 cc,85.0,2000,4.0,487.80487804878055,8000.0,4.454347296253507,cần bán xe wave 125 thái honda wave xe số 100 175 cc bán xe thái zin tất cả dán keo nguyên con xem xe thích ngay
576,honda,air blade,tay ga,100 175 cc,25.0,55000,6.0,9016.393442622952,330000.0,3.258096538021482,xe air blade 2019 1 đời chủ honda air blade tay ga 100 175 cc xe zin đeph keng còn mới chính chủ xe đẹp mọi chức năng đầy đủ máy móc im ru chạy mạnh
577,honda,sh,tay ga,100 175 cc,72.0,13000,1.0,11818.181818181818,13000.0,4.290459441148391,bán xe sh chính chủ biển số sài gòn honda sh tay ga 100 175 cc xe sh 125 cbs năm sản xuất 2024 màu trắng chính chủ đứng tên bán xe thay nhớt trong hãng màu trắng ngọc trinh lúc trước mua 83 500 000 đã vào 1 số đồ inox gần 2 triệu bán cho bạn nào cần mua chạy thương lượng nhẹ
578,honda,sh,tay ga,100 175 cc,72.0,13000,1.0,11818.181818181818,13000.0,4.290459441148391,xe sh125 cbs chính chủ bán 72 000 000 honda sh tay ga 100 175 cc xe sh màu trắng chính chủ đứng tên bán mua năm 2024 thay nhớt hãng đã vào một số đồ inox thương lượng nhẹ cho anh em mua về chạy
579,triumph,dòng khác,tay côn moto,trên 175 cc,360.0,8820,6.0,1445.9016393442623,52920.0,5.8888779583328805,bán xe triumph bonneville t120 triumph dòng khác tay côn moto trên 175 cc xe nhập từ mỹ đời 2018 đăng ký năm 2019 biển số chính chủ tại tphcm 9 nút đẹp không có số 4 số 7 xe chủ yếu trùm mền thỉnh thoảng cafe cuối tuần xe có lên chống đổ chính hãng triumph khung hông và cặp túi da chính hãng triumph lên cặp vỏ không ruột vỏ ruột zin theo xe còn kính gù lắp ghi đông yên độ ngồi êm ái giá 6 5 triệu yên zin còn bầu pô ace có nhu cầu liên hệ tùng sđt
580,honda,sh,tay ga,100 175 cc,113.0,1000,16.0,62.11180124223602,16000.0,4.736198448394496,cần bán xe sh ý đời 2009 mã số may 102 honda sh tay ga 100 175 cc cần bán xe chính chủ sh ý mã số 102 đời 2009 mua từ lúc 7 cây vàng cho đến bây giờ cần tiền nên bán giá 113 t riệu còn tl cảm ơn on anh chi xem tin
581,honda,ps,tay ga,100 175 cc,22.0,40800,17.0,2385.9649122807014,693600.0,3.1354942159291497,bán xe tay ga ps 150 i đời 2008 màu trắng honda ps tay ga 100 175 cc bán xe tay ga ps 150 i đời 2008 màu trắng như hình chính chủ sang tên 1 nốt nhạc anh chị có nhu cầu alo em ạ
